"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2024","EQ","2,985.75","3,011.90","2,957.30","2,985.70","2,970.30","2,971.70","2,988.81","3,024.90","2,220.30","1,09,27,182","32,65,92,43,942.20","2,89,271"
"27-Mar-2024","EQ","2,896.00","3,000.00","2,894.00","2,883.15","2,983.75","2,985.70","2,972.19","3,024.90","2,220.30","81,63,322","24,26,29,83,466.45","2,99,800"
"26-Mar-2024","EQ","2,890.00","2,904.80","2,878.00","2,910.05","2,886.70","2,883.15","2,887.28","3,024.90","2,220.30","57,07,953","16,48,04,30,505.15","1,74,805"
"22-Mar-2024","EQ","2,899.95","2,920.00","2,894.70","2,901.95","2,906.55","2,910.05","2,909.59","3,024.90","2,220.30","97,63,804","28,40,86,77,998.20","2,86,746"
"21-Mar-2024","EQ","2,905.05","2,915.80","2,889.35","2,887.50","2,900.05","2,901.95","2,903.52","3,024.90","2,220.30","65,03,468","18,88,29,74,161.40","2,44,846"
"20-Mar-2024","EQ","2,855.90","2,890.00","2,848.05","2,850.50","2,886.25","2,887.50","2,874.53","3,024.90","2,220.30","42,44,403","12,20,06,51,007.80","2,08,132"
"19-Mar-2024","EQ","2,857.50","2,875.20","2,834.50","2,878.95","2,849.15","2,850.50","2,848.79","3,024.90","2,220.30","41,37,882","11,78,79,73,196.45","1,96,658"
"18-Mar-2024","EQ","2,840.00","2,883.45","2,833.05","2,836.45","2,874.00","2,878.95","2,858.10","3,024.90","2,220.30","45,84,696","13,10,35,38,361.45","2,28,224"
"15-Mar-2024","EQ","2,851.90","2,866.45","2,825.80","2,862.95","2,838.00","2,836.45","2,839.66","3,024.90","2,220.30","96,11,909","27,29,45,38,070.95","2,49,827"
"14-Mar-2024","EQ","2,879.40","2,897.05","2,851.00","2,864.35","2,870.00","2,862.95","2,871.07","3,024.90","2,220.30","92,85,551","26,65,94,95,810.00","3,43,017"
"13-Mar-2024","EQ","2,959.55","2,966.20","2,855.55","2,950.85","2,873.20","2,864.35","2,889.98","3,024.90","2,220.30","67,61,067","19,53,93,20,816.80","2,55,973"
"12-Mar-2024","EQ","2,933.20","2,976.00","2,930.05","2,933.20","2,953.50","2,950.85","2,956.49","3,024.90","2,220.30","47,16,339","13,94,38,14,809.40","1,78,946"
"11-Mar-2024","EQ","2,978.00","2,978.00","2,927.00","2,957.85","2,928.00","2,933.20","2,950.20","3,024.90","2,220.30","56,38,565","16,63,48,94,693.10","2,55,615"
"07-Mar-2024","EQ","3,005.95","3,006.20","2,951.10","3,006.00","2,957.00","2,957.85","2,973.36","3,024.90","2,220.30","41,57,863","12,36,28,39,422.10","1,95,070"
"06-Mar-2024","EQ","2,986.90","3,018.00","2,957.00","3,000.40","3,002.85","3,006.00","2,991.36","3,024.90","2,220.30","39,02,838","11,67,47,86,490.95","2,05,634"
"05-Mar-2024","EQ","3,011.55","3,014.80","2,972.10","3,014.80","2,996.00","3,000.40","2,992.50","3,024.90","2,220.30","35,53,834","10,63,48,36,947.90","2,13,477"
"04-Mar-2024","EQ","2,980.95","3,024.90","2,974.45","2,982.15","3,010.00","3,014.80","3,003.93","3,024.90","2,220.30","50,12,210","15,05,63,20,911.10","2,40,680"
"02-Mar-2024","EQ","2,984.00","3,000.90","2,976.00","2,984.25","2,980.95","2,982.15","2,989.65","3,000.90","2,220.30","3,58,150","1,07,07,43,614.70","18,856"
"01-Mar-2024","EQ","2,927.00","3,000.00","2,925.00","2,921.60","2,977.00","2,984.25","2,966.96","3,000.00","2,220.30","60,66,463","17,99,89,57,520.55","2,72,154"
"29-Feb-2024","EQ","2,930.00","2,957.95","2,909.05","2,911.25","2,930.75","2,921.60","2,927.13","2,999.90","2,220.30","1,18,14,488","34,58,24,93,286.65","2,98,691"
"28-Feb-2024","EQ","2,966.00","2,982.55","2,900.35","2,971.30","2,915.00","2,911.25","2,931.01","2,999.90","2,220.30","43,23,975","12,67,36,07,274.50","2,16,192"
"27-Feb-2024","EQ","2,966.05","2,999.90","2,956.10","2,974.65","2,971.00","2,971.30","2,974.38","2,999.90","2,220.30","54,13,022","16,10,04,08,443.55","1,97,414"
"26-Feb-2024","EQ","2,987.10","2,989.05","2,965.00","2,987.25","2,975.10","2,974.65","2,974.31","2,995.10","2,220.30","37,56,553","11,17,31,63,735.60","1,41,799"
"23-Feb-2024","EQ","2,979.00","2,995.10","2,966.70","2,963.50","2,986.55","2,987.25","2,982.96","2,995.10","2,220.30","72,19,292","21,53,48,40,027.25","2,55,210"
"22-Feb-2024","EQ","2,936.30","2,969.90","2,916.00","2,935.40","2,962.20","2,963.50","2,944.65","2,977.05","2,220.30","92,46,864","27,22,87,62,576.20","2,73,105"
